state_dt,pct_change
2019-03-27,0.0
2019-03-28,0.0
2019-03-29,3.0
2019-04-01,3.0
2019-04-02,0.0
2019-04-03,7.0
2019-04-04,3.0
2019-04-08,-3.0
2019-04-09,0.0
2019-04-10,-2.0
2019-04-11,-4.0
2019-04-12,1.0
2019-04-15,-1.0
2019-04-16,4.0
2019-04-17,-1.0
2019-04-18,-3.0
2019-04-19,1.0
2019-04-22,1.0
2019-04-23,-3.0
2019-04-24,1.0
2019-04-25,-6.0
2019-04-26,-1.0
2019-04-29,-6.0
2019-04-30,1.0
2019-05-06,-10.0
2019-05-07,3.0
2019-05-08,1.0
2019-05-09,0.0
2019-05-10,4.0
2019-05-13,-1.0
